,data,model,roc_auc_score,f1_score,pr_auc_score,balanced_accuracy_score
0,2020,RandomForestClassifier,0.8393185812942191,0.35626964722319243,0.33593313917241774,0.7626956307593167
1,2022,RandomForestClassifier,0.8478364521276628,0.37743517869656623,0.3637211248961652,0.7698729574341745
2,merged,RandomForestClassifier,0.8350595400275327,0.352980801616706,0.33867351768400367,0.7574544954163691
