data,feature,importances
2020,AgeCategory,40.63114271746416
2020,GeneralHealth,19.727389582068284
2020,Sex,8.504663863100433
2020,HadDiabetes,4.3369314489649495
2020,RaceEthnicityCategory,3.7369336742587573
2020,HadStroke,3.697844256747497
2020,SmokerStatus,3.360846626480312
2020,BMI,2.7931862868122064
2020,SleepHours,2.532621970435736
2020,PhysicalHealthDays,2.4286349594376717
2020,DifficultyWalking,2.370090542207406
2020,MentalHealthDays,1.5359971083442794
2020,HadAsthma,1.3761086478855613
2020,HadKidneyDisease,1.0111194480678234
2020,HadSkinCancer,0.9119182571515382
2020,AlcoholDrinkers,0.8245060630108818
2020,PhysicalActivities,0.2200645475625346
