,data,model,roc_auc_score,f1_score,pr_auc_score,balanced_accuracy_score
0,2020,CatBoostClassifier,0.8433346727927207,0.34188846641318127,0.3510545302568115,0.7664086849439846
1,2022,CatBoostClassifier,0.8528892211345576,0.3667118600296985,0.37967650123322766,0.7755167410075043
2,merged,CatBoostClassifier,0.8373789861181673,0.34432699083861873,0.3419250040461593,0.7595204857526182
