data,feature,importances
2020,AgeCategory,40.63114271746416
2020,GeneralHealth,19.727389582068284
2020,Sex,8.504663863100433
2020,HadDiabetes,4.3369314489649495
2020,RaceEthnicityCategory,3.736933674258757
2020,HadStroke,3.697844256747497
2020,SmokerStatus,3.360846626480312
2020,BMI,2.7931862868122064
2020,SleepHours,2.532621970435736
2020,PhysicalHealthDays,2.428634959437672
2020,DifficultyWalking,2.370090542207406
2020,MentalHealthDays,1.5359971083442794
2020,HadAsthma,1.3761086478855613
2020,HadKidneyDisease,1.0111194480678234
2020,HadSkinCancer,0.9119182571515382
2020,AlcoholDrinkers,0.8245060630108818
2020,PhysicalActivities,0.2200645475625346
2022,AgeCategory,29.032912632184527
2022,GeneralHealth,13.176803087871535
2022,ChestScan,11.974914469458572
2022,Sex,6.205098706486956
2022,HadDiabetes,3.2464250600508398
2022,HadStroke,2.763332046420392
2022,RemovedTeeth,2.682418203844593
2022,LastCheckupTime,2.305097901139934
2022,WeightInKilograms,2.162813307556711
2022,PhysicalHealthDays,2.0030688688897165
2022,BMI,1.940098208767743
2022,RaceEthnicityCategory,1.843607360348965
2022,HeightInMeters,1.6998090051593728
2022,State,1.6727904026615372
2022,HadArthritis,1.6462628351299278
2022,SleepHours,1.6011628202015746
2022,HadCOPD,1.5697934770781743
2022,DifficultyWalking,1.3165161647978894
2022,PneumoVaxEver,1.3107397254648712
2022,HadKidneyDisease,0.9827039463259992
2022,AlcoholDrinkers,0.9433289976560972
2022,MentalHealthDays,0.9396737051314232
2022,HadDepressiveDisorder,0.7083643832337565
2022,DeafOrHardOfHearing,0.6380317731214344
2022,SmokerStatus,0.6308219667528778
2022,HadAsthma,0.5733801321018579
2022,CovidPos,0.5343317321909226
2022,ECigaretteUsage,0.5050496793865038
2022,BlindOrVisionDifficulty,0.4538100229637817
2022,TetanusLast10Tdap,0.4375832572471251
2022,HIVTesting,0.4229876025275551
2022,FluVaxLast12,0.4119730054863231
2022,HadSkinCancer,0.3962382283162795
2022,DifficultyConcentrating,0.3820129276743704
2022,DifficultyErrands,0.2981460849381976
2022,PhysicalActivities,0.2955052107606281
2022,HighRiskLastYear,0.1885500538684537
2022,DifficultyDressingBathing,0.1038430068024967
merged,AgeCategory,42.8164543428519
merged,GeneralHealth,20.01114489539366
merged,Sex,8.20738585341679
merged,HadStroke,4.110222662701614
merged,HadDiabetes,3.633187950505604
merged,BMI,3.0389178538814328
merged,DifficultyWalking,2.701523986712848
merged,RaceEthnicityCategory,2.6575273875862377
merged,SmokerStatus,2.295647659796717
merged,PhysicalHealthDays,2.2665634320898764
merged,SleepHours,2.114610274098004
merged,MentalHealthDays,1.33791716692913
merged,HadKidneyDisease,1.3218329918256122
merged,HadAsthma,1.187562213112664
merged,AlcoholDrinkers,0.9331172368187078
merged,HadSkinCancer,0.492870955983172
merged,Year,0.4551488056274416
merged,PhysicalActivities,0.4183643306685271
